Ano,Ranking,Jogador,Posicao,Nacionalidade,Idade,Clube,Jogos,Gols
2012,25,Araújo,Centre-Forward,Brazil,35,Clube Náutico Capibaribe,33,8
2013,1,Éderson,Centre-Forward,Brazil,24,Atlético Paranaense,36,21
2013,2,Hernane,Centre-Forward,Brazil,27,CR Flamengo,31,16
2013,3,Dinei,Centre-Forward,Brazil,30,Esporte Clube Vitória,35,16
2013,4,Cícero,Central Midfield,Brazil,29,Santos FC,37,15
2013,5,Fernandão,Centre-Forward,Brazil,26,Esporte Clube Bahia,34,15
2013,6,Gilberto,Centre-Forward,Brazil,24,N/A,27,14
2013,7,William,Centre-Forward,Brazil,30,Associação Atlética Ponte Preta,33,14
2013,8,Walter,Centre-Forward,Brazil,24,Goiás EC,32,13
2013,9,Alex,Attacking Midfield,Brazil,36,Coritiba Foot Ball Club,29,12
2013,10,André Felipe,Centre-Forward,Brazil,23,Clube de Regatas Vasco da Gama,27,12
2013,11,Andrés D'Alessandro,Attacking Midfield,Argentina,32,Sport Club Internacional,35,11
2013,12,Lins,Centre-Forward,Brazil,26,Criciúma EC,35,11
2013,13,Maximiliano Biancucchi,Centre-Forward,Argentina,29,Esporte Clube Vitória,23,11
2013,14,Aloísio,Centre-Forward,China,25,São Paulo Futebol Clube,33,11
2013,15,Wellington Paulista,Centre-Forward,Brazil,30,Criciúma EC,24,11
2013,16,Rafael Sóbis,Centre-Forward,Brazil,28,Fluminense Football Club,36,10
2013,17,Rafael Marques,Centre-Forward,Brazil,30,Botafogo de Futebol e Regatas,37,10
2013,18,Ricardo Goulart,Second Striker,Brazil,22,Cruzeiro Esporte Clube,33,10
2013,19,Paulo Baier,Attacking Midfield,Brazil,39,Atlético Paranaense,27,10
2013,20,Borges,Centre-Forward,Brazil,33,Cruzeiro Esporte Clube,24,10
2013,21,Elias,Centre-Forward,Brazil,26,Botafogo de Futebol e Regatas,25,10
2013,22,Alexandre Pato,Centre-Forward,Brazil,24,Sport Club Corinthians Paulista,30,10
2013,23,Hernán Barcos,Centre-Forward,Argentina,29,Grêmio Foot-Ball Porto Alegrense,37,9
2013,24,Clarence Seedorf,Central Midfield,Netherlands,37,Botafogo de Futebol e Regatas,34,8
2013,25,Edmílson,Centre-Forward,Brazil,31,Clube de Regatas Vasco da Gama,27,8
2014,1,Fred,Centre-Forward,Brazil,31,Fluminense Football Club,28,18
2014,2,Henrique Dourado,Centre-Forward,Brazil,25,Sociedade Esportiva Palmeiras,33,16
2014,3,Ricardo Goulart,Second Striker,Brazil,23,Cruzeiro Esporte Clube,26,15
2014,4,Marcelo Moreno Martins,Centre-Forward,Bolivia,27,Cruzeiro Esporte Clube,32,15
2014,5,Hernán Barcos,Centre-Forward,Argentina,30,Grêmio Foot-Ball Porto Alegrense,32,14
2014,6,Paolo Guerrero,Centre-Forward,Peru,30,Sport Club Corinthians Paulista,28,12
2014,7,Erik,Right Winger,Brazil,20,Goiás EC,34,12
2014,8,Leandro Pereira,Centre-Forward,Brazil,23,Associação Chapecoense de Futebol,24,10
2014,9,Diego Tardelli,Centre-Forward,Brazil,29,Clube Atlético Mineiro,24,10
2014,10,Darío Conca,Attacking Midfield,Argentina,31,Fluminense Football Club,37,9
2014,11,Alexandre Pato,Centre-Forward,Brazil,25,São Paulo Futebol Clube,29,9
2014,12,Alan Kardec,Centre-Forward,Brazil,25,N/A,28,9
2014,13,Luís Fabiano,Centre-Forward,Brazil,34,São Paulo Futebol Clube,23,9
2014,14,Cléo,Centre-Forward,Brazil,29,Atlético Paranaense,20,9
2014,15,Dinei,Centre-Forward,Brazil,31,Esporte Clube Vitória,31,9
2014,16,Gabriel Barbosa,Centre-Forward,Brazil,18,Santos FC,31,8
2014,17,Rafael Moura,Centre-Forward,Brazil,31,Sport Club Internacional,26,8
2014,18,Eduardo,Centre-Forward,Croatia,31,CR Flamengo,18,8
2014,19,Cícero,Central Midfield,Brazil,30,N/A,26,8
2014,20,Joel Tagueu,Centre-Forward,Cameroon,21,Coritiba Foot Ball Club,20,8
2014,21,Rogério Ceni,Goalkeeper,Brazil,41,São Paulo Futebol Clube,35,8
2014,22,Wagner,Attacking Midfield,Brazil,29,Fluminense Football Club,31,7
2014,23,Alecsandro,Centre-Forward,Brazil,33,CR Flamengo,24,7
2014,24,Patric,Right-Back,Brazil,25,Sport Club do Recife,34,7
2014,25,Douglas Coutinho,Centre-Forward,Brazil,20,Atlético Paranaense,28,7
2015,1,Ricardo Oliveira,Centre-Forward,Brazil,35,Santos FC,32,20
2015,2,Vágner Love,Centre-Forward,Brazil,31,Sport Club Corinthians Paulista,31,14
2015,3,Jádson,Attacking Midfield,Brazil,32,Sport Club Corinthians Paulista,34,13
2015,4,Lucas Pratto,Centre-Forward,Argentina,27,Clube Atlético Mineiro,36,13
2015,5,André Felipe,Centre-Forward,Brazil,25,N/A,29,13
2015,6,Henrique Almeida,Centre-Forward,Brazil,24,Coritiba Foot Ball Club,20,12
2015,7,Willian Bigode,Second Striker,Brazil,29,Cruzeiro Esporte Clube,29,11
2015,8,Vitinho,Left Winger,Brazil,22,Sport Club Internacional,33,11
2015,9,Alexandre Pato,Centre-Forward,Brazil,26,São Paulo Futebol Clube,33,10
2015,10,Luan,Attacking Midfield,Brazil,22,Grêmio Foot-Ball Porto Alegrense,33,10
2015,11,Dudu,Left Winger,Brazil,23,Sociedade Esportiva Palmeiras,28,10
2015,12,Gabriel Barbosa,Centre-Forward,Brazil,19,Santos FC,30,10
2015,13,André Lima,Centre-Forward,Brazil,30,Avaí FC,25,10
2015,14,Erik,Right Winger,Brazil,21,Goiás EC,26,10
2015,15,Diego Souza,Centre-Forward,Brazil,30,Sport Club do Recife,34,9
2015,16,Walter,Centre-Forward,Brazil,26,Atlético Paranaense,32,9
2015,17,Fred,Centre-Forward,Brazil,32,Fluminense Football Club,23,9
2015,18,Thiago Ribeiro,Left Winger,Brazil,29,Clube Atlético Mineiro,33,9
2015,19,Nenê,Attacking Midfield,Brazil,34,Clube de Regatas Vasco da Gama,20,9
2015,20,Bruno Rangel,Centre-Forward,Brazil,33,Associação Chapecoense de Futebol,19,9
2015,21,Luís Fabiano,Centre-Forward,Brazil,35,São Paulo Futebol Clube,22,8
2015,22,Bruno Henrique,Centre-Forward,Brazil,24,Goiás EC,33,7
2015,23,Biro Biro,Right Winger,Brazil,21,Associação Atlética Ponte Preta,29,7
2015,24,Jesús Dátolo,Left Midfield,Argentina,31,Clube Atlético Mineiro,26,7
2015,25,Clayton,Centre-Forward,Brazil,20,Figueirense Futebol Clube,29,7
2016,1,Diego Souza,Centre-Forward,Brazil,31,Sport Club do Recife,34,14
2016,2,Fred,Centre-Forward,Brazil,33,N/A,34,14
2016,3,William Pottker,Right Winger,Brazil,22,Associação Atlética Ponte Preta,31,14
2016,4,Grafite,Centre-Forward,Brazil,37,Santa Cruz FC (PE),31,13
2016,5,Robinho,Left Winger,Brazil,32,Clube Atlético Mineiro,30,12
2016,6,Marinho,Right Winger,Brazil,26,Esporte Clube Vitória,27,12
2016,7,Gabriel Jesus,Centre-Forward,Brazil,19,Sociedade Esportiva Palmeiras,27,12
2016,8,Sassá,Centre-Forward,Brazil,22,Botafogo de Futebol e Regatas,26,12
2016,9,Ricardo Oliveira,Centre-Forward,Brazil,36,Santos FC,20,11
2016,10,Keno,Left Winger,Brazil,27,Santa Cruz FC (PE),34,10
2016,11,Jonathan Copete,Left Winger,Colombia,28,Santos FC,25,10
2016,12,Pablo,Centre-Forward,Brazil,24,Atlético Paranaense,33,10
2016,13,Bruno Rangel,Centre-Forward,Brazil,34,Associação Chapecoense de Futebol,31,10
2016,14,Giorgian de Arrascaeta,Attacking Midfield,Uruguay,22,Cruzeiro Esporte Clube,31,9
2016,15,Kieza,Centre-Forward,Brazil,30,Esporte Clube Vitória,35,9
2016,16,Vitor Bueno,Attacking Midfield,Brazil,22,Santos FC,33,9
2016,17,Kléber,Centre-Forward,Brazil,33,Coritiba Foot Ball Club,24,9
2016,18,Cícero,Central Midfield,Brazil,32,Fluminense Football Club,35,9
2016,19,Rogério,Right Winger,Brazil,25,N/A,31,9
2016,20,Kempes,Centre-Forward,Brazil,34,Associação Chapecoense de Futebol,26,9
2016,21,Paolo Guerrero,Centre-Forward,Peru,32,CR Flamengo,21,9
2016,22,Andrés Chávez,Centre-Forward,Argentina,25,São Paulo Futebol Clube,21,9
2016,23,Gustavo Scarpa,Attacking Midfield,Brazil,22,Fluminense Football Club,34,8
2016,24,Roger Silva,Centre-Forward,Brazil,31,Associação Atlética Ponte Preta,26,8
2016,25,Vitinho,Left Winger,Brazil,23,Sport Club Internacional,28,8
2017,1,Jô,Centre-Forward,Brazil,30,Sport Club Corinthians Paulista,34,18
2017,2,Henrique Dourado,Centre-Forward,Brazil,28,Fluminense Football Club,32,18
2017,3,André Felipe,Centre-Forward,Brazil,27,Sport Club do Recife,35,16
2017,4,Lucca,Left Winger,Brazil,27,Associação Atlética Ponte Preta,37,13
2017,5,Fred,Centre-Forward,Brazil,34,Clube Atlético Mineiro,29,12
2017,6,Edigar Junio,Centre-Forward,Brazil,26,Esporte Clube Bahia,26,12
2017,7,Thiago Neves,Attacking Midfield,Brazil,32,Cruzeiro Esporte Clube,33,11
2017,8,Diego Souza,Centre-Forward,Brazil,32,Sport Club do Recife,27,11
2017,9,Diego,Attacking Midfield,Brazil,32,CR Flamengo,27,10
2017,10,Santiago Tréllez,Centre-Forward,Colombia,27,Esporte Clube Vitória,23,10
2017,11,Roger Silva,Centre-Forward,Brazil,32,Botafogo de Futebol e Regatas,20,10
2017,12,Dudu,Left Winger,Brazil,25,Sociedade Esportiva Palmeiras,26,9
2017,13,Hernanes,Attacking Midfield,Brazil,32,São Paulo Futebol Clube,19,9
2017,14,Wellington Paulista,Centre-Forward,Brazil,34,Associação Chapecoense de Futebol,34,9
2017,15,Júnior Dutra,Centre-Forward,Brazil,29,Avaí FC,30,9
2017,16,Fernandinho,Left Winger,Brazil,31,Grêmio Foot-Ball Porto Alegrense,28,9
2017,17,Luiz Fernando,Left Winger,Brazil,21,Atlético Clube Goianiense,33,9
2017,18,Bruno Henrique,Centre-Forward,Brazil,26,Santos FC,28,8
2017,19,Arthur Caíke,Left Winger,Brazil,25,Associação Chapecoense de Futebol,34,8
2017,20,Everton,Left Winger,Brazil,21,Grêmio Foot-Ball Porto Alegrense,32,8
2017,21,Keno,Left Winger,Brazil,28,Sociedade Esportiva Palmeiras,31,8
2017,22,Stiven Mendoza,Left Winger,Colombia,25,Esporte Clube Bahia,31,8
2017,23,Rómulo Otero,Attacking Midfield,Venezuela,25,Clube Atlético Mineiro,28,8
2017,24,Ricardo Oliveira,Centre-Forward,Brazil,37,Santos FC,23,8
2017,25,Neilton,Left Winger,Brazil,23,Esporte Clube Vitória,30,7
2018,1,Gabriel Barbosa,Centre-Forward,Brazil,22,Santos FC,35,18
