Ano,Ranking,Jogador,Posicao,Nacionalidade,Idade,Clube,Jogos,Gols
2022,23,Jhon Arias,Right Winger,Colombia,25,Fluminense Football Club,33,7
2022,24,Dudu,Left Winger,Brazil,30,Sociedade Esportiva Palmeiras,38,7
2022,25,Moisés,Left Winger,Brazil,26,Fortaleza Esporte Clube,37,7
2023,1,Paulinho,Left Winger,Brazil,23,Clube Atlético Mineiro,36,20
2023,2,Luis Suárez,Centre-Forward,Uruguay,36,Grêmio Foot-Ball Porto Alegrense,33,17
2023,3,Tiquinho Soares,Centre-Forward,Brazil,32,Botafogo de Futebol e Regatas,33,17
2023,4,Hulk,Centre-Forward,Brazil,37,Clube Atlético Mineiro,34,15
2023,5,Marcos Leonardo,Centre-Forward,Brazil,20,Santos FC,31,13
2023,6,Pedro,Centre-Forward,Brazil,26,CR Flamengo,34,13
2023,7,Robson,Right Winger,Brazil,32,Coritiba Foot Ball Club,32,12
2023,8,Vitor Roque,Centre-Forward,Brazil,18,Club Athletico Paranaense,25,12
2023,9,Deyverson,Centre-Forward,Brazil,32,Cuiabá Esporte Clube (MT),36,12
2023,10,Eduardo Sasha,Centre-Forward,Brazil,31,Red Bull Bragantino,33,11
2023,11,Gonzalo Mastriani,Centre-Forward,Uruguay,30,América Futebol Clube (MG),24,11
2023,12,Endrick,Centre-Forward,Brazil,17,Sociedade Esportiva Palmeiras,31,11
2023,13,Germán Cano,Centre-Forward,Argentina,35,Fluminense Football Club,30,10
2023,14,Pablo Vegetti,Centre-Forward,Argentina,35,Clube de Regatas Vasco da Gama,21,10
2023,15,Raphael Veiga,Attacking Midfield,Brazil,28,Sociedade Esportiva Palmeiras,31,9
2023,16,Luciano,Centre-Forward,Brazil,30,São Paulo Futebol Clube,34,9
2023,17,Thiago Borbas,Centre-Forward,Uruguay,21,Red Bull Bragantino,33,9
2023,18,Jonathan Calleri,Centre-Forward,Argentina,30,São Paulo Futebol Clube,19,9
2023,19,Everaldo,Centre-Forward,Brazil,32,Esporte Clube Bahia,33,9
2023,20,Enner Valencia,Centre-Forward,Ecuador,34,Sport Club Internacional,22,9
2023,21,Juan Martín Lucero,Centre-Forward,Argentina,32,Fortaleza Esporte Clube,31,9
2023,22,Franco Cristaldo,Attacking Midfield,Argentina,27,Grêmio Foot-Ball Porto Alegrense,34,8
2023,23,Gabriel Pec,Right Winger,Brazil,22,Clube de Regatas Vasco da Gama,37,8
2023,24,Bruno Rodrigues,Left Winger,Brazil,26,Cruzeiro Esporte Clube,35,8
2023,25,Yuri Alberto,Centre-Forward,Brazil,22,Sport Club Corinthians Paulista,34,8
2024,1,Yuri Alberto,Centre-Forward,Brazil,23,Sport Club Corinthians Paulista,29,15
2024,2,Alerrandro,Centre-Forward,Brazil,24,Esporte Clube Vitória,34,15
2024,3,Estêvão,Right Winger,Brazil,17,Sociedade Esportiva Palmeiras,31,13
2024,4,Pablo Vegetti,Centre-Forward,Argentina,36,Clube de Regatas Vasco da Gama,35,12
2024,5,Pedro,Centre-Forward,Brazil,27,CR Flamengo,21,11
2024,6,Raphael Veiga,Attacking Midfield,Brazil,29,Sociedade Esportiva Palmeiras,34,11
2024,7,Luciano,Centre-Forward,Brazil,31,São Paulo Futebol Clube,31,11
2024,8,Wesley,Left Winger,Brazil,25,Sport Club Internacional,33,11
2024,9,Rodrigo Garro,Attacking Midfield,Argentina,26,Sport Club Corinthians Paulista,36,10
2024,10,Lucas Moura,Right Winger,Brazil,32,São Paulo Futebol Clube,28,10
2024,11,Hulk,Centre-Forward,Brazil,38,Clube Atlético Mineiro,24,10
2024,12,José Manuel López,Centre-Forward,Argentina,24,Sociedade Esportiva Palmeiras,35,10
2024,13,Rafael Borré,Centre-Forward,Colombia,29,Sport Club Internacional,23,9
2024,14,Matheus Pereira,Attacking Midfield,Brazil,28,Cruzeiro Esporte Clube,34,8
2024,15,Jefferson Savarino,Attacking Midfield,Venezuela,28,Botafogo de Futebol e Regatas,28,8
2024,16,Yannick Bolasie,Centre-Forward,DR Congo,35,Criciúma EC,34,8
2024,17,Eduardo Sasha,Centre-Forward,Brazil,32,Red Bull Bragantino,28,8
2024,18,Everaldo,Centre-Forward,Brazil,33,Esporte Clube Bahia,37,8
2024,19,Juan Martín Lucero,Centre-Forward,Argentina,33,Fortaleza Esporte Clube,32,8
2024,20,Alan Patrick,Attacking Midfield,Brazil,33,Sport Club Internacional,23,8
2024,21,Eduardo Vargas,Centre-Forward,Chile,35,Clube Atlético Mineiro,23,8
2024,22,Martin Braithwaite,Centre-Forward,Denmark,33,Grêmio Foot-Ball Porto Alegrense,18,8
2024,23,Paulinho,Left Winger,Brazil,24,Clube Atlético Mineiro,26,8
2024,24,Luiz Fernando,Left Winger,Brazil,28,Atlético Clube Goianiense,31,8
2024,25,Luiz Henrique,Right Winger,Brazil,23,Botafogo de Futebol e Regatas,35,7
2025,1,Kaio Jorge,Centre-Forward,Brazil,23,Cruzeiro Esporte Clube,32,21
2025,2,Giorgian de Arrascaeta,Attacking Midfield,Uruguay,31,CR Flamengo,31,18
2025,3,Vitor Roque,Centre-Forward,Brazil,20,Sociedade Esportiva Palmeiras,32,16
2025,4,Pablo Vegetti,Centre-Forward,Argentina,37,Clube de Regatas Vasco da Gama,32,14
2025,5,Reinaldo,Left-Back,Brazil,36,Mirassol Futebol Clube (SP),32,12
2025,6,Pedro,Centre-Forward,Brazil,28,CR Flamengo,21,12
2025,7,Rayan,Right Winger,Brazil,19,Clube de Regatas Vasco da Gama,32,12
2025,8,Willian José,Centre-Forward,Brazil,34,Esporte Clube Bahia,30,11
2025,9,José Manuel López,Centre-Forward,Argentina,24,Sociedade Esportiva Palmeiras,31,10
2025,10,Yuri Alberto,Centre-Forward,Brazil,24,Sport Club Corinthians Paulista,25,10
2025,11,Pedro Raul,Centre-Forward,Brazil,29,Ceará Sporting Club,31,10
2025,12,Alan Patrick,Attacking Midfield,Brazil,34,Sport Club Internacional,26,9
2025,13,Carlos Vinícius,Centre-Forward,Brazil,30,Grêmio Foot-Ball Porto Alegrense,12,9
2025,14,Renato Kayzer,Centre-Forward,Brazil,29,Esporte Clube Vitória,27,9
2025,15,Jhon Jhon,Attacking Midfield,Brazil,23,Red Bull Bragantino,31,8
2025,16,Luciano,Centre-Forward,Brazil,32,São Paulo Futebol Clube,30,8
2025,17,Álvaro Barreal,Left Winger,Argentina,25,Santos FC,30,8
2025,18,Hulk,Centre-Forward,Brazil,39,Clube Atlético Mineiro,29,7
2025,19,Gabriel Taliari,Centre-Forward,Brazil,28,Esporte Clube Juventude,31,7
2025,20,Antonio Galeano,Right Winger,Paraguay,25,Ceará Sporting Club,34,7
2025,21,Luiz Araújo,Right Winger,Brazil,29,CR Flamengo,33,7
2025,22,Isidro Pitta,Centre-Forward,Paraguay,26,Red Bull Bragantino,21,7
2025,23,Bruno Henrique,Centre-Forward,Brazil,34,CR Flamengo,30,7
2025,24,Deyverson,Centre-Forward,Brazil,34,Fortaleza Esporte Clube,23,7
2025,25,Matheus Pereira,Attacking Midfield,Brazil,29,Cruzeiro Esporte Clube,32,6
