Ano,Clube,Squad,Idade Media,Estrangeiros,Valor Medio,Valor Total
2014,Esporte Clube Vitória,71,23.7,8,€356k,€25.30m
2014,Coritiba Foot Ball Club,72,23.4,6,€347k,€24.95m
2014,Sport Club do Recife,65,24.5,3,€347k,€22.58m
2014,Esporte Clube Bahia,65,23.7,6,€328k,€21.30m
2014,Criciúma EC,76,24.6,1,€230k,€17.45m
2014,Figueirense Futebol Clube,51,24.0,2,€223k,€11.35m
2014,Atlético Paranaense,64,21.3,3,€148k,€9.45m
2014,Goiás EC,44,23.3,0,€141k,€6.20m
2014,Associação Chapecoense de Futebol,52,25.2,1,€106k,€5.53m
2015,São Paulo Futebol Clube,49,24.1,5,€1.86m,€91.15m
2015,Sport Club Internacional,57,23.3,5,€1.20m,€68.25m
2015,Sociedade Esportiva Palmeiras,54,23.9,7,€1.23m,€66.45m
2015,Cruzeiro Esporte Clube,48,24.0,6,€1.35m,€64.70m
2015,Fluminense Football Club,64,23.9,3,€934k,€59.80m
2015,Sport Club Corinthians Paulista,44,23.8,5,€1.23m,€54.00m
2015,Clube Atlético Mineiro,44,25.0,3,€1.16m,€50.88m
2015,Grêmio Foot-Ball Porto Alegrense,56,22.4,7,€870k,€48.73m
2015,CR Flamengo,43,24.1,7,€905k,€38.90m
2015,Santos FC,46,23.0,4,€735k,€33.83m
2015,Clube de Regatas Vasco da Gama,56,25.1,8,€541k,€30.30m
2015,Sport Club do Recife,51,23.1,0,€364k,€18.55m
2015,Coritiba Foot Ball Club,58,23.6,1,€291k,€16.90m
2015,Atlético Paranaense,80,21.3,7,€190k,€15.20m
2015,Figueirense Futebol Clube,54,23.0,1,€264k,€14.25m
2015,Avaí FC,52,23.8,3,€215k,€11.20m
2015,Associação Atlética Ponte Preta,65,23.3,0,€154k,€10.00m
2015,Associação Chapecoense de Futebol,45,25.6,0,€209k,€9.40m
2015,Goiás EC,61,23.0,0,€130k,€7.90m
2015,Joinville Esporte Clube (SC),63,23.5,1,€86k,€5.40m
2016,CR Flamengo,42,24.3,6,€1.47m,€61.90m
2016,Cruzeiro Esporte Clube,51,23.3,8,€1.10m,€56.35m
2016,Fluminense Football Club,48,23.7,3,€1.16m,€55.75m
2016,São Paulo Futebol Clube,48,23.1,8,€1.16m,€55.70m
2016,Clube Atlético Mineiro,61,22.9,6,€862k,€52.60m
2016,Sociedade Esportiva Palmeiras,47,25.0,5,€1.11m,€51.95m
2016,Grêmio Foot-Ball Porto Alegrense,55,22.8,4,€742k,€40.80m
2016,Sport Club Internacional,52,23.5,6,€722k,€37.53m
2016,Sport Club do Recife,64,23.7,5,€584k,€37.40m
2016,América Futebol Clube (MG),58,23.5,2,€608k,€35.25m
