Ano,Data_Referencia,Clube,Valor_Mercado_Data,Valor_Mercado_Atual
2014,2014-12-01,Grêmio Foot-Ball Porto Alegrense,€42.15m,€86.45m
2014,2014-12-01,Sport Club Internacional,€34.45m,€86.00m
2014,2014-12-01,Santos FC,€53.70m,€82.80m
2014,2014-12-01,Fortaleza Esporte Clube,€2.25m,€47.18m
2014,2014-12-01,Sport Club do Recife,€19.60m,€39.50m
2014,2014-12-01,Ceará Sporting Club,€4.00m,€32.85m
2014,2014-12-01,Esporte Clube Vitória,€18.40m,€32.15m
2014,2014-12-01,Esporte Clube Juventude,€400k,€23.20m
2014,2014-12-01,Mirassol Futebol Clube (SP),€1.53m,€22.53m
2015,2015-12-01,Sociedade Esportiva Palmeiras,€73.35m,€212.15m
2015,2015-12-01,CR Flamengo,€59.40m,€195.90m
2015,2015-12-01,Botafogo de Futebol e Regatas,€23.08m,€138.35m
2015,2015-12-01,Cruzeiro Esporte Clube,€94.80m,€125.65m
2015,2015-12-01,Sport Club Corinthians Paulista,€79.43m,€110.45m
2015,2015-12-01,Clube de Regatas Vasco da Gama,€35.58m,€108.15m
2015,2015-12-01,Esporte Clube Bahia,€16.58m,€103.50m
2015,2015-12-01,Clube Atlético Mineiro,€57.25m,€97.40m
2015,2015-12-01,Fluminense Football Club,€67.78m,€94.10m
2015,2015-12-01,Red Bull Bragantino,€3.90m,€90.70m
2015,2015-12-01,São Paulo Futebol Clube,€67.05m,€89.85m
2015,2015-12-01,Grêmio Foot-Ball Porto Alegrense,€54.30m,€86.45m
2015,2015-12-01,Sport Club Internacional,€60.25m,€86.00m
2015,2015-12-01,Santos FC,€58.23m,€82.80m
2015,2015-12-01,Fortaleza Esporte Clube,€6.78m,€47.18m
2015,2015-12-01,Sport Club do Recife,€38.50m,€39.50m
2015,2015-12-01,Ceará Sporting Club,€9.98m,€32.85m
2015,2015-12-01,Esporte Clube Vitória,€17.53m,€32.15m
2015,2015-12-01,Esporte Clube Juventude,€1.90m,€23.20m
2015,2015-12-01,Mirassol Futebol Clube (SP),€1.10m,€22.53m
2016,2016-12-01,Sociedade Esportiva Palmeiras,€80.15m,€212.15m
2016,2016-12-01,CR Flamengo,€58.40m,€195.90m
2016,2016-12-01,Botafogo de Futebol e Regatas,€28.00m,€138.35m
2016,2016-12-01,Cruzeiro Esporte Clube,€73.05m,€125.65m
2016,2016-12-01,Sport Club Corinthians Paulista,€42.40m,€110.45m
2016,2016-12-01,Clube de Regatas Vasco da Gama,€26.88m,€108.15m
2016,2016-12-01,Esporte Clube Bahia,€24.68m,€103.50m
2016,2016-12-01,Clube Atlético Mineiro,€71.18m,€97.40m
2016,2016-12-01,Fluminense Football Club,€50.13m,€94.10m
2016,2016-12-01,Red Bull Bragantino,€6.60m,€90.70m
2016,2016-12-01,São Paulo Futebol Clube,€66.88m,€89.85m
2016,2016-12-01,Grêmio Foot-Ball Porto Alegrense,€64.13m,€86.45m
2016,2016-12-01,Sport Club Internacional,€62.53m,€86.00m
2016,2016-12-01,Santos FC,€42.53m,€82.80m
2016,2016-12-01,Fortaleza Esporte Clube,€8.18m,€47.18m
2016,2016-12-01,Sport Club do Recife,€34.95m,€39.50m
2016,2016-12-01,Ceará Sporting Club,€11.58m,€32.85m
2016,2016-12-01,Esporte Clube Vitória,€24.25m,€32.15m
2016,2016-12-01,Esporte Clube Juventude,€4.05m,€23.20m
2016,2016-12-01,Mirassol Futebol Clube (SP),€2.80m,€22.53m
2017,2017-12-01,Sociedade Esportiva Palmeiras,€84.50m,€212.15m
2017,2017-12-01,CR Flamengo,€75.20m,€195.90m
2017,2017-12-01,Botafogo de Futebol e Regatas,€29.45m,€138.35m
2017,2017-12-01,Cruzeiro Esporte Clube,€55.90m,€125.65m
2017,2017-12-01,Sport Club Corinthians Paulista,€57.25m,€110.45m
2017,2017-12-01,Clube de Regatas Vasco da Gama,€34.43m,€108.15m
2017,2017-12-01,Esporte Clube Bahia,€35.45m,€103.50m
